Ausbauart	Stufe	Holz	Stein	Eisen	Stoff	Nahrung	Gold
Wirtschaft	2 	60 	60 	10 	0 	0 	1.500.000
	3 	150 	150 	20 	0 	0 	3.000.000
	4 	200 	200 	50 	10 	0 	5.000.000
	5 	350 	350 	100 	20 	0 	7.500.000
	6 	450 	450 	150 	50 	0 	10.000.000
	7 	500 	500 	200 	100 	0 	15.000.000
Bevölkerung	2 	80 	30 	0 	0 	20 	750.000
	3 	200 	100 	0 	0 	50 	1.000.000
	4 	250 	150 	10 	10 	75 	2.000.000
	5 	400 	300 	25 	20 	100 	3.000.000
	6 	500 	400 	50 	50 	200 	5.000.000
	7 	600 	450 	100 	100 	300 	7.000.000
Bergbau	2 	50 	50 	20 	0 	0 	2.000.000
	3 	100 	100 	30 	0 	0 	4.000.000
	4 	150 	150 	75 	10 	0 	6.000.000
	5 	300 	300 	125 	20 	0 	8.000.000
	6 	400 	400 	175 	50 	0 	10.000.000
	7 	450 	450 	250 	100 	0 	12.500.000
Agrabau	2 	50 	50 	10 	0 	0 	2.000.000
	3 	125 	125 	20 	0 	0 	4.000.000
	4 	175 	175 	50 	10 	0 	6.000.000
	5 	325 	325 	100 	20 	0 	8.000.000
	6 	425 	425 	150 	50 	0 	10.000.000
	7 	475 	475 	200 	100 	0 	12.500.000
Nebenstadt	2 	150 	150 	50 	50 	0 	5.000.000
	3 	250 	250 	50 	150 	0 	7.000.000
Handelsposten	2 	200 	200 	50 	100 	0 	5.000.000
	3 	300 	300 	75 	200 	0 	7.000.000
	4 	500 	500 	100 	300 	0 	10.000.000
	5 	750 	750 	150 	500 	0 	15.000.000
Hauptstadt	2 	200 	200 	50 	100 	0 	5.000.000
	3 	300 	300 	75 	200 	0 	7.000.000
	4 	500 	500 	100 	300 	0 	10.000.000
	5 	750 	750 	150 	500 	0 	12.500.000
	6 	850 	850 	200 	750 	0 	17.500.000
	7 	1.000 	1.000 	250 	1.000 	0 	20.000.000
Handelszentrum	2 	200 	200 	50 	200 	0 	7.000.000
	3 	300 	300 	75 	300 	0 	10.000.000
	4 	500 	500 	100 	500 	0 	12.500.000
	5 	750 	750 	150 	750 	0 	17.500.000
	6 	850 	850 	200 	1.000 	0 	20.000.000
	7 	1.000 	1.000 	250 	1250	0 	25.000.000
Festung	1	100 	200 	100 	0 	75 	3.000.000 
	2 	150 	300 	150 	0 	100 	5.500.000 
	3 	200 	400 	200 	0 	150 	8.000.000 
	4 	250 	500 	250 	50 	200 	11.500.000 
	5 	300 	750 	300 	75 	250 	16.000.000 
	Infanterie	0 	0 	20 	20 	30 	250.000 
	Kavallerie	0 	0 	20 	10 	40 	325.000 
	Artillerie	0 	0 	40 	20 	10 	500.000 
	Korvette	40 	0 	20 	25 	20 	275.000 
	Fregatte	60 	0 	30 	40 	30 	400.000 
	Linienschiff	80 	0 	45 	60 	40 	550.000 
